Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
42,Single Best Solver (SBS: Christofides + GLS),19.334215167548503,20.60405643738977,3.7381187614506253,19.334215167548503,6.264957214830974,22802.08178277484,5.253741919489002,0.0,Christofides + GLS,Single Best Solver (SBS)
42,Uniform Random Selection (1/9),11.159611992945326,11.962081128747796,16.759441553416746,11.159611992945326,12.889683642700406,22959.971715167547,6.508312052752228,-0.692436479690115,Christofides + GLS,Uniform Random Selection (1/9)
42,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22461.032216343327,3.641573281865002,1.495694865409828,Christofides + GLS,Virtual Best Solver (VBS / Upper Bound)
43,Gradient Boosting Classifier,23.994126284875183,25.219215439479758,22.40523559797563,23.994126284875183,22.224153470693057,25049.75152786518,4.5962122314320535,0.45986804234331347,PCI + GLS,Gradient Boosting Classifier
43,Random Forest Classifier,25.53387874973778,26.779945458359556,21.57438558393718,25.53387874973778,21.378620953024946,25032.587035871617,4.571921726225813,0.5280745391672419,PCI + GLS,Random Forest Classifier
43,Multi-Layer Perceptron (MLP),21.774701069855254,22.65156282777428,21.494460903038718,21.774701069855254,20.6045504389317,25084.004503181597,4.8050101393794895,0.32375708415094673,PCI + GLS,Multi-Layer Perceptron (MLP)
43,Gradient Boosting Regressor,19.32871827144955,20.411160058737153,6.456866403954156,19.32871827144955,6.725513280890041,25214.944164743727,5.103420410463276,-0.19655750563197621,PCI + GLS,Gradient Boosting Regressor
43,LightGBM Ranker (LTR),27.30857981959304,28.361653031256555,15.072663514481485,27.30857981959304,19.023479478655258,25040.91054471715,4.595394855507183,0.4949994338947029,PCI + GLS,LightGBM Ranker (LTR)
43,Single Best Solver (SBS: PCI + GLS),20.56639395846444,21.728550451017412,4.2297656045476275,20.56639395846444,7.016491852621547,25165.479525907278,4.829108223903348,0.0,PCI + GLS,Single Best Solver (SBS)
43,Uniform Random Selection (1/9),10.887350534927627,11.596391860709042,15.187494180066272,10.887350534927627,12.294754564836932,25336.862261380324,6.191595606025112,-0.6810231265277941,PCI + GLS,Uniform Random Selection (1/9)
43,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,24815.294161247468,3.3654224399889814,1.3915306652484107,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
44,Gradient Boosting Classifier,22.91440697948597,24.26786135345437,21.81587744091684,22.91440697948597,21.9384666876058,23584.430425214177,3.9678368397388404,0.5263576167970567,Christofides + GLS,Gradient Boosting Classifier
44,Random Forest Classifier,26.65409101626975,27.72930912520632,24.8578216599411,26.65409101626975,22.564262478209756,23587.40252298986,3.964243254047925,0.5138219996150428,Christofides + GLS,Random Forest Classifier
44,Multi-Layer Perceptron (MLP),21.235557651497288,22.438104220702666,20.00057016754535,21.235557651497288,20.185495154901258,23623.923563624932,4.1898797581575495,0.35978474409957695,Christofides + GLS,Multi-Layer Perceptron (MLP)
44,Gradient Boosting Regressor,19.834944588540438,20.62249469464749,9.228114434249568,19.834944588540438,7.084178773378577,23703.049021457202,4.285726500070317,0.02605196557126474,Christofides + GLS,Gradient Boosting Regressor
44,LightGBM Ranker (LTR),25.093138410752182,26.239094553171423,17.318871859107247,25.093138410752182,17.913997151458634,23585.849194372397,4.011753609750535,0.5203735784580119,Christofides + GLS,LightGBM Ranker (LTR)
44,Single Best Solver (SBS: Christofides + GLS),19.471822683329403,20.25937278943645,3.791518786110215,19.471822683329403,6.3471347485171785,23709.225740784404,4.296379503097522,0.0,Christofides + GLS,Single Best Solver (SBS)
44,Uniform Random Selection (1/9),11.167177552464041,11.98302287196416,15.77918931503527,11.167177552464041,12.687952727881036,23842.280680657077,5.401201907114583,-0.5611947911221435,Christofides + GLS,Uniform Random Selection (1/9)
44,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,23381.64192407451,2.801323649006846,1.3816723510561064,Christofides + GLS,Virtual Best Solver (VBS / Upper Bound)
45,Gradient Boosting Classifier,21.73952434881087,23.16647791619479,21.448020882669475,21.73952434881087,21.159373988123285,23284.541321253302,4.431131245151804,0.5181625914361712,PCI + GLS,Gradient Boosting Classifier
45,Random Forest Classifier,29.943374858437146,31.714609286523217,24.164796097320128,29.943374858437146,24.746955438829588,23243.169626274066,4.2356728343614325,0.6949207322325442,PCI + GLS,Random Forest Classifier
45,Multi-Layer Perceptron (MLP),24.163080407701017,25.66704416761042,24.251747893903687,24.163080407701017,23.060237895496286,23301.67691204228,4.4535648241109795,0.4449517846073175,PCI + GLS,Multi-Layer Perceptron (MLP)
45,Gradient Boosting Regressor,22.795016987542468,24.462061155152888,5.628291007607306,22.795016987542468,8.476613197895155,23426.87128727822,4.799358924364059,-0.0899338422922964,PCI + GLS,Gradient Boosting Regressor
45,LightGBM Ranker (LTR),29.843714609286526,31.29331823329558,16.34321668064994,29.843714609286526,20.914994610785605,23251.39881464704,4.319559555391037,0.6597620074618996,PCI + GLS,LightGBM Ranker (LTR)
45,Single Best Solver (SBS: PCI + GLS),19.157417893544736,21.032842582106458,3.6700666034790794,19.157417893544736,6.160030434291414,23405.821532653827,4.7529339517254785,0.0,PCI + GLS,Single Best Solver (SBS)
45,Uniform Random Selection (1/9),10.822197055492639,11.78708946772367,15.855784815519186,10.822197055492639,12.434832804793215,23550.314911287278,5.959227424932331,-0.6173394872376788,PCI + GLS,Uniform Random Selection (1/9)
45,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,23040.82166100415,3.127830217349204,1.5594405483288014,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
46,Gradient Boosting Classifier,25.119315623592975,26.019810895992794,24.63513271108789,25.119315623592975,24.47615050935198,22526.347951373256,4.623992304330288,0.6499489770530797,PCI + GLS,Gradient Boosting Classifier
46,Random Forest Classifier,25.920756416028816,27.0058532192706,22.46894683668197,25.920756416028816,22.261299931353552,22505.41181149632,4.514206634445199,0.7422855852546035,PCI + GLS,Random Forest Classifier
46,Multi-Layer Perceptron (MLP),20.10355695632598,21.139126519585773,18.94820525714924,20.10355695632598,19.231872885284098,22546.68752063635,4.645316846992103,0.5602434798089054,PCI + GLS,Multi-Layer Perceptron (MLP)
46,Gradient Boosting Regressor,18.95092300765421,19.774876181900044,3.6223630762586994,18.95092300765421,6.082156005887876,22681.44948221522,5.038182431841896,-0.034109754355568025,PCI + GLS,Gradient Boosting Regressor
46,LightGBM Ranker (LTR),23.732552904097254,24.682575416479065,15.44171828779087,23.732552904097254,16.606541546927602,22499.423495422485,4.54070028806993,0.7686964135327318,PCI + GLS,LightGBM Ranker (LTR)
46,Single Best Solver (SBS: PCI + GLS),23.048176497073392,24.034218820351192,5.312184398402462,23.048176497073392,8.634316329797553,22673.715533543447,4.876596336052867,0.0,PCI + GLS,Single Best Solver (SBS)
46,Uniform Random Selection (1/9),11.359747861323727,11.882035119315622,16.786689782178655,11.359747861323727,13.060270654866757,22801.46121867027,6.080604006418621,-0.5634086964610406,PCI + GLS,Uniform Random Selection (1/9)
46,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22282.48548701786,3.271728399622446,1.7254783228924333,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
47,Gradient Boosting Classifier,20.888792542813786,21.91198786039454,20.38141806304383,20.888792542813786,19.941054556976034,22472.173104993133,4.811430231817628,0.6100650171465422,Christofides + GLS,Gradient Boosting Classifier
47,Random Forest Classifier,28.788207240407544,29.984825493171474,32.56821803570877,28.788207240407544,24.07185397172367,22422.612067345905,4.52423142319,0.8292635915979965,Christofides + GLS,Random Forest Classifier
47,Multi-Layer Perceptron (MLP),19.63147626273575,20.24712768263603,19.34462807178407,19.63147626273575,19.332563160570327,22460.499479731196,4.811740539042513,0.6616951309934479,Christofides + GLS,Multi-Layer Perceptron (MLP)
47,Gradient Boosting Regressor,17.95794493821808,18.465207023628874,14.422882386741795,17.95794493821808,5.94643331329458,22638.605549533924,5.227787644433541,-0.12603245614459907,Christofides + GLS,Gradient Boosting Regressor
47,LightGBM Ranker (LTR),25.17233904183828,26.342943854324734,13.937048481910209,25.17233904183828,17.368969154175947,22425.44920875786,4.573044421607926,0.8167154815797183,Christofides + GLS,LightGBM Ranker (LTR)
47,Single Best Solver (SBS: Christofides + GLS),18.239757207890744,18.74701929330154,3.3268874300280236,18.239757207890744,5.627358358286621,22610.109473227832,5.146546896982674,0.0,Christofides + GLS,Single Best Solver (SBS)
47,Uniform Random Selection (1/9),10.969000650336007,11.476262735746802,15.461516968819735,10.969000650336007,12.514789799931242,22740.85891321627,6.2498361098081565,-0.5782786684127108,Christofides + GLS,Uniform Random Selection (1/9)
47,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22213.610911193,3.3738449044688434,1.7536339773335308,Christofides + GLS,Virtual Best Solver (VBS / Upper Bound)
48,Gradient Boosting Classifier,21.428249605767064,22.441991439513405,19.964857087975567,21.428249605767064,19.92221059787131,22165.827859127432,4.866026154041697,0.3255112885679408,PCI + GLS,Gradient Boosting Classifier
48,Random Forest Classifier,23.37913944582113,24.870466321243523,18.686017116071646,23.37913944582113,19.44976259359147,22149.666118495155,4.7942556708906094,0.3981868161614482,PCI + GLS,Random Forest Classifier
48,Multi-Layer Perceptron (MLP),19.891867537733724,21.211984681234515,22.15543136524921,19.891867537733724,19.96049436955667,22165.053330329654,4.9228938389682595,0.3289941615019642,PCI + GLS,Multi-Layer Perceptron (MLP)
48,Gradient Boosting Regressor,19.689119170984455,20.97769767965758,3.9450458861624056,19.689119170984455,6.573067286264482,22284.171675302245,5.190261142654001,-0.20665288072686241,PCI + GLS,Gradient Boosting Regressor
48,LightGBM Ranker (LTR),25.028159495381843,26.393331831493576,13.93833489197385,25.028159495381843,17.20094606760535,22116.726657655625,4.652926658099845,0.5463077859026473,PCI + GLS,LightGBM Ranker (LTR)
48,Single Best Solver (SBS: PCI + GLS),24.14958323946835,25.577832845235417,5.832023706400106,24.14958323946835,9.395156317441506,22238.215761808213,4.881108577630134,0.0,PCI + GLS,Single Best Solver (SBS)
48,Uniform Random Selection (1/9),11.074566343771119,11.79995494480739,16.486649100421523,11.074566343771119,12.780175982418578,22405.95541788691,6.332452604095515,-0.7542855860170826,PCI + GLS,Uniform Random Selection (1/9)
48,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,21902.83855973568,3.372692598854911,1.5081120071175342,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
